daily_date,total_sales,customer_id
2021-08-28,18400,C00014966
2021-05-21,17600,C00002550
2022-03-25,31000,C00012816
2021-12-29,14100,C00014502
2021-11-28,39600,C00016844
2020-02-24,31900,C00016548
2020-06-28,20000,C00016811
2021-01-30,14100,C00016614
2021-01-30,20000,C00012930
2020-09-05,19800,C00016056
2020-05-20,10200,C00003138
2021-12-05,20800,C00015036
2020-10-31,14100,C00015079
2021-10-03,19800,C00001338
2021-01-07,31900,C00015459
2022-03-26,16800,C00000238
2022-05-09,4300,C00015695
2021-12-25,18100,C00018455
2022-04-03,21000,C00013857
2020-11-20,4800,C00004790
2021-11-13,15900,C00009233
2020-10-17,18100,C00002964
2021-12-23,7600,C00008512
2021-10-24,32400,C00002340
2021-03-05,7600,C00014429
2021-03-14,17600,C00012881
2021-02-08,31900,C00006116
2021-04-18,21000,C00016085
2021-05-22,1200,C00016442
2021-03-27,16800,C00013516
2021-12-25,28600,C00014119
2022-02-20,18400,C00011632
2021-02-20,16800,C00002534
2021-12-04,16500,C00006016
2021-10-23,17600,C00004837
2021-11-20,39600,C00011113
2021-03-07,18400,C00002658
2021-01-17,7800,C00012426
2022-02-06,2180,C00015310
2020-11-04,14500,C00002914
2021-11-26,14100,C00017545
2022-01-09,20000,C00001615
2020-03-22,21000,C00014124
2021-02-13,30800,C00015493
2021-02-27,9800,C00017317
2021-06-09,19400,C00004433
2020-11-15,12900,C00009510
2021-02-19,19800,C00016280
2020-10-18,14500,C00012757
2021-02-27,35200,C00005917
2021-04-17,4300,C00014497
2020-12-13,7600,C00017156
2020-07-02,21000,C00001523
2022-04-16,14500,C00008420
2020-02-02,31000,C00013758
2022-01-30,15900,C00018020
2022-05-21,38900,C00002306
2020-09-08,36200,C00010911
2021-12-22,20000,C00005584
2022-05-19,19800,C00005138
2021-12-09,14100,C00000252
2021-03-28,31900,C00016576
2021-12-05,17600,C00015827
2021-01-02,31900,C00007226
2020-05-24,7600,C00016956
2022-02-26,21000,C00006307
2021-01-23,14500,C00008227
2021-10-30,14300,C00015493
2022-03-09,16500,C00016320
2022-02-17,14500,C00009631
2021-11-30,7800,C00006067
2021-03-07,21000,C00016631
2020-12-13,14300,C00014169
2021-12-01,31000,C00002694
2022-01-11,14100,C00008024
2022-03-12,18100,C00018781
2021-12-04,18900,C00006861
2020-03-29,4800,C00017402
2021-04-17,15900,C00015375
2022-01-20,20000,C00007214
2021-10-23,8900,C00011767
2021-01-20,1200,C00009186
2022-05-14,12300,C00011365
2022-03-17,14100,C00007577
2022-03-25,37800,C00011988
2020-12-17,6800,C00009482
2022-01-08,18100,C00015681
2021-01-17,18000,C00014237
2020-10-10,8300,C00011544
2020-11-21,2180,C00008818
2022-04-23,20800,C00014989
2022-03-06,17600,C00003513
2022-02-26,38900,C00014679
2020-11-08,20000,C00012862
2021-12-08,18100,C00009455
2021-02-13,21000,C00004982
2020-10-18,17000,C00013154
2020-10-03,19800,C00007280
2020-09-20,1200,C00007740
2022-03-26,7800,C00012053
2021-05-06,8300,C00000831
2021-02-24,15900,C00008970
2020-04-10,6800,C00008452
2022-01-16,39600,C00006153
2022-05-01,18900,C00005504
2022-01-30,20400,C00006214
2021-02-08,4300,C00016407
2022-04-30,1200,C00010986
2022-01-01,14100,C00016121
2021-06-01,15600,C00005284
2021-02-04,14300,C00004526
2020-12-13,37800,C00011507
2020-01-15,14300,C00013767
2021-01-09,31900,C00010477
2020-09-27,16800,C00002109
2022-04-24,14300,C00017352
2021-12-19,17600,C00018009
2021-04-24,12900,C00017843
2021-04-16,16800,C00018414
2020-12-13,17000,C00017047
2022-01-28,30800,C00004364
2021-02-10,10200,C00004022
2020-12-20,16500,C00003862
2021-12-26,9800,C00016374
2021-02-22,18000,C00000800
2021-03-05,19800,C00017558
2021-03-21,18900,C00011509
2021-12-12,18100,C00013105
2020-02-22,35200,C00015244
2021-04-18,980,C00014865
2020-06-21,2280,C00004618
2020-02-22,16800,C00003099
2021-02-06,17000,C00013932
2020-10-10,19400,C00006552
2021-12-26,8300,C00000343
2022-03-22,7600,C00008918
2021-04-25,8300,C00004033
2020-08-16,16800,C00011842
2022-04-04,62400,C00000076
2022-02-18,7800,C00016344
2022-02-06,17600,C00010280
2021-12-28,14100,C00010547
2022-04-16,18900,C00000464
2020-10-18,35200,C00002885
2022-03-12,16500,C00004496
2021-03-31,8700,C00011075
2021-04-04,22100,C00001396
2020-10-18,35200,C00003423
2021-12-25,16800,C00009291
2020-04-11,31000,C00005850
2020-09-12,30800,C00010857
2022-04-21,22100,C00011649
2021-01-15,16800,C00012313
2020-06-03,2280,C00008376
2021-02-14,8300,C00004173
2021-12-18,21000,C00014429
2020-08-31,18000,C00014391
2020-05-08,8300,C00006700
2020-03-21,16800,C00017443
2022-01-22,17600,C00010202
2022-04-26,16800,C00011839
2021-01-17,7600,C00010696
2020-10-12,31900,C00014225
2021-11-08,22100,C00011928
2021-05-27,15900,C00015407
2021-07-27,15900,C00015534
2021-07-10,21000,C00009261
2021-01-03,7600,C00003607
2021-08-08,14300,C00017701
2021-10-06,18900,C00014138
2020-05-17,17600,C00011628
2021-12-26,16500,C00018296
2022-01-08,15100,C00000702
2020-11-21,31900,C00000305
2021-10-24,12900,C00010196
2021-12-10,14300,C00002176
2020-06-25,14300,C00005129
2022-02-16,18100,C00017117
2020-02-07,14500,C00008264
2020-11-29,39600,C00011251
2020-01-10,19800,C00008340
2020-05-15,2180,C00014446
2022-03-07,31900,C00009306
2021-02-06,4300,C00011112
2021-12-19,41200,C00002843
2021-01-22,20000,C00003165
2021-01-02,12400,C00010123
2020-11-10,9800,C00012288
2021-02-23,17000,C00012364
2020-01-28,14300,C00016106
2022-02-02,18900,C00018001
2022-02-09,9800,C00016447
2020-04-26,35200,C00016617
2021-09-01,22100,C00017232
2022-03-26,31000,C00010831
2020-09-26,18000,C00001910
2020-04-01,16000,C00013936
2021-04-23,16800,C00003079
2020-05-03,7600,C00000300
2020-12-13,41200,C00000412
2020-12-01,38900,C00005289
2022-05-22,31900,C00015884
2020-02-20,19400,C00011509
2021-12-25,21000,C00000256
2020-02-06,18900,C00001330
2021-07-24,5280,C00013520
2021-12-12,82400,C00013287
2021-01-24,16500,C00005780
2022-03-05,16500,C00014748
2021-11-12,18400,C00018654
2022-01-29,17600,C00010874
2022-04-18,10200,C00018522
2021-05-29,16500,C00007082
2020-05-23,9800,C00012879
2022-04-17,22100,C00018005
2020-11-22,4800,C00008172
2021-02-14,44200,C00010618
2022-04-03,5280,C00015184
2022-01-04,17600,C00014973
2020-03-04,41200,C00001879
2020-02-16,4300,C00003067
2020-08-09,21000,C00007907
2020-04-26,52700,C00004647
2022-02-19,7600,C00014340
2021-01-13,7600,C00018362
2022-04-23,14300,C00008664
2020-03-15,5280,C00017190
2020-02-15,66300,C00009556
2022-02-05,7600,C00018134
2020-11-27,12900,C00008600
2020-12-05,41200,C00009134
2020-03-18,6800,C00002443
2022-03-27,30800,C00011191
2020-02-09,7800,C00012833
2022-01-22,31000,C00010845
2021-06-06,2280,C00011180
2021-04-11,15600,C00012536
2020-11-22,19800,C00010855
2020-02-08,16000,C00010974
2021-11-26,35200,C00004629
2021-12-08,36900,C00012812
2021-01-17,20000,C00002838
2021-10-17,41200,C00016625
2021-07-20,22100,C00005493
2020-06-29,31000,C00003324
2022-02-13,18900,C00018099
2020-12-26,14300,C00017245
2020-05-17,19400,C00004507
2022-04-11,15900,C00012406
2022-03-27,16800,C00015770
2021-05-02,10200,C00004728
2021-12-18,7600,C00013255
2021-05-29,38900,C00001275
2020-03-21,31900,C00003945
2020-02-01,31000,C00007750
2022-02-02,8300,C00016895
2021-10-16,980,C00015857
2020-10-10,22100,C00016031
2022-03-06,7800,C00004029
2022-02-21,25800,C00013513
2021-12-31,12300,C00001754
2020-03-08,16800,C00012098
2020-02-02,4300,C00017880
2020-11-23,14100,C00010424
2022-01-23,19800,C00007329
2022-03-25,31900,C00001727
2021-02-27,20800,C00018751
2020-11-07,7600,C00014025
2022-02-09,16500,C00001502
2020-09-16,14300,C00013134
2021-03-21,16800,C00005729
2020-04-01,14300,C00002024
2021-05-27,4300,C00014136
2022-02-03,9800,C00013478
2020-03-15,6800,C00006292
2022-04-02,15900,C00012266
2020-07-11,22100,C00000576
2022-04-16,22100,C00005948
2022-04-02,39600,C00014936
2020-04-05,22100,C00016662
2020-09-17,7600,C00016952
2021-12-25,4300,C00016614
2021-02-06,18100,C00013449
2020-12-21,6800,C00010364
2022-04-28,35200,C00014522
2022-01-07,12400,C00009381
2021-04-18,16800,C00011771
2021-01-10,8600,C00012703
2021-01-26,1200,C00005901
2021-01-16,18000,C00003763
2021-12-10,17600,C00010204
2021-02-03,2280,C00002839
2020-12-09,7600,C00006330
2021-12-19,8600,C00001607
2020-12-19,31900,C00003083
2022-03-30,41200,C00010888
2021-12-05,8700,C00011561
2020-11-27,4300,C00003754
2021-12-05,12400,C00011472
2020-11-15,6800,C00015717
2022-02-12,16500,C00009804
2021-10-07,35200,C00004173
2022-03-15,31900,C00004121
2020-08-29,19800,C00010251
2021-02-28,17600,C00012192
2021-11-10,38900,C00009375
2020-03-29,19800,C00014599
2021-08-03,19800,C00008619
2020-02-16,7900,C00008548
2021-11-02,14300,C00009598
2022-03-13,20000,C00017583
2020-10-01,31900,C00017374
2020-10-18,33980,C00013015
2022-03-06,4800,C00009788
2022-02-19,17600,C00016171
2022-03-19,16000,C00017185
2022-02-19,19800,C00015529
2021-07-11,18900,C00008024
2021-09-11,8300,C00008873
2020-06-22,17000,C00014050
2022-02-19,20800,C00017772
2021-01-10,2280,C00016828
2021-09-05,31900,C00010396
2022-01-27,5890,C00001037
2020-10-11,17600,C00017411
2020-01-21,35200,C00015720
2022-02-19,18900,C00016742
2020-03-27,18900,C00000059
2020-12-09,18100,C00014718
2020-10-11,21000,C00011642
2021-05-02,7800,C00016608
2021-02-13,2180,C00009595
2021-09-26,16800,C00010289
2020-02-19,14100,C00011794
2021-12-13,19800,C00013020
2021-09-04,19400,C00000865
2021-04-04,8800,C00013134
2020-01-26,18000,C00012826
2022-01-23,14100,C00017969
2021-03-06,19400,C00014909
2021-01-02,7600,C00000466
2021-11-29,15200,C00012565
2020-12-20,37800,C00001853
2021-12-13,14300,C00001764
2020-03-15,2280,C00000898
2020-02-02,6800,C00015365
2021-09-30,18900,C00010127
2021-02-14,8800,C00001570
2020-12-19,31900,C00006284
2021-02-13,18900,C00009070
2020-12-13,19800,C00017747
2021-01-10,7800,C00006780
2021-06-19,14100,C00004628
2022-05-19,31900,C00010911
2021-05-30,19800,C00012980
2020-11-16,7600,C00014004
2022-01-30,4300,C00008692
2021-03-18,35200,C00013751
2020-09-12,21000,C00010547
2021-09-12,39600,C00005758
2021-03-07,30800,C00000659
2022-01-30,5280,C00014497
2021-05-15,7600,C00003499
2021-11-16,20000,C00002635
2020-09-19,21000,C00007120
2020-04-05,7800,C00012073
2021-11-18,21000,C00008164
2021-03-28,15100,C00014863
2021-05-16,9800,C00009849
2020-05-31,4800,C00012913
2021-12-05,19400,C00000643
2022-01-01,16800,C00003235
2021-12-12,980,C00007867
2020-06-14,14300,C00001678
2022-05-15,14300,C00014095
2021-03-27,22100,C00008044
2021-02-05,7600,C00004613
2020-12-01,10000,C00015547
2020-11-19,31000,C00005314
2020-02-09,12400,C00008405
2020-01-11,9800,C00017812
2021-05-23,21000,C00003708
2021-04-17,30800,C00011117
2022-01-01,16500,C00018699
2020-10-15,9800,C00009601
2020-08-02,22100,C00008713
2022-04-24,18400,C00008909
2022-04-09,19800,C00010196
2022-03-02,19800,C00000035
2020-11-07,4800,C00004855
2022-01-25,21000,C00018128
2021-03-12,5280,C00007506
2021-01-23,16800,C00008919
2022-01-22,14500,C00010610
2020-04-12,41200,C00008376
2021-10-10,2280,C00012847
2021-01-31,30800,C00018480
2020-02-22,28200,C00004499
2021-11-13,18900,C00006123
2020-04-19,22100,C00000308
2022-03-18,19800,C00007178
2022-05-13,14300,C00001865
2022-01-23,4800,C00008788
2021-04-13,9800,C00016619
2021-03-20,16500,C00015477
2021-01-14,14500,C00013883
2020-04-18,6800,C00004981
2020-01-25,38900,C00010177
2022-01-29,41200,C00005023
2021-10-05,4800,C00004431
2020-03-28,5280,C00014599
2022-02-12,7600,C00003443
2022-02-20,17600,C00002306
2022-02-04,19800,C00001038
2021-10-17,7600,C00018215
2021-09-25,16800,C00006582
2021-01-13,16800,C00003760
2020-06-14,16800,C00002511
2020-09-27,41200,C00010421
2020-02-09,980,C00008635
2022-03-20,35200,C00013642
2020-05-30,20000,C00002203
2020-03-29,31900,C00010004
2021-12-04,18900,C00015481
2021-02-28,7800,C00004761
2020-01-04,12400,C00008964
2021-09-11,14500,C00001733
2021-03-28,30800,C00012743
2020-12-27,2180,C00001338
2021-12-05,35200,C00008080
2021-09-18,7800,C00013527
2021-09-01,14500,C00017115
2021-03-07,18400,C00016886
2021-11-06,14100,C00005494
2022-05-08,4800,C00015266
2022-01-23,18000,C00001212
2021-10-16,4800,C00018643
2021-09-26,5890,C00010270
2022-03-20,14500,C00014194
2021-01-23,35200,C00017142
2021-04-18,35200,C00000717
2021-01-09,21000,C00002632
2020-12-06,20000,C00005817
2020-09-12,7800,C00014979
2020-02-21,8900,C00009706
2020-03-15,20000,C00003348
2020-01-23,15900,C00002403
2022-02-19,31000,C00017386
2021-03-31,33000,C00001431
2020-06-24,14100,C00002425
2021-11-13,2280,C00008253
2020-11-14,18100,C00016098
2020-10-31,16800,C00016678
2021-10-31,15900,C00012254
2022-01-27,17600,C00006767
2020-05-16,31900,C00014380
2022-01-15,2180,C00008190
2021-04-20,16800,C00001334
2021-02-07,2180,C00004164
2021-11-20,31900,C00011269
2021-01-20,10560,C00012115
2020-12-10,9800,C00000374
2020-11-30,35200,C00011138
2021-08-29,14300,C00008328
2021-02-21,16800,C00008704
2022-01-16,31900,C00011966
2020-02-12,39600,C00004732
2020-04-23,22100,C00009874
2022-01-20,15600,C00010558
2020-12-20,980,C00003210
2021-12-03,31900,C00017212
2021-02-06,7800,C00011620
2020-11-01,17600,C00003241
2022-04-23,9800,C00011888
2020-03-28,19600,C00001357
2020-03-22,2180,C00018690
2021-04-20,38900,C00017952
2020-08-09,20000,C00004098
2020-01-26,17600,C00008353
2022-01-16,16500,C00011829
2021-09-02,19800,C00004006
2022-01-06,19800,C00015257
2021-12-09,4800,C00018041
2020-01-18,7600,C00010984
2022-02-27,7600,C00017754
2022-03-30,5890,C00006917
2022-05-01,18900,C00002450
2022-01-05,14300,C00017573
2020-03-31,31900,C00003391
2020-11-24,18000,C00011028
2020-09-27,8900,C00006259
2021-02-07,52000,C00010538
2020-12-05,7600,C00010968
2022-02-01,18900,C00001043
2021-02-13,18100,C00009430
2020-11-22,14300,C00018186
2022-04-17,16800,C00004710
2022-04-02,21000,C00014099
2020-06-15,16800,C00011031
2022-01-10,20000,C00002284
2021-10-24,8800,C00017336
2021-09-20,4300,C00000984
2021-01-07,19800,C00016520
2022-03-20,18000,C00002797
2020-12-14,31900,C00000636
2021-04-04,7800,C00009033
2022-05-26,19800,C00003833
2020-03-27,8300,C00004000
2020-09-06,7600,C00008953
2020-02-22,6800,C00013449
2022-03-15,39600,C00018081
2021-02-08,14300,C00007934
2021-12-05,2280,C00014770
2020-10-05,10200,C00007896
2020-12-14,15900,C00005386
2020-06-21,15200,C00000158
2021-10-30,5890,C00013601
2021-03-20,19800,C00015540
2021-10-12,2180,C00002990
2021-04-04,19800,C00001275
2022-02-07,4300,C00016514
2020-03-01,19600,C00018078
2021-02-24,6800,C00010539
2021-01-02,15200,C00000733
2021-03-27,61600,C00012967
2021-03-07,14300,C00003568
2021-04-24,30800,C00014143
2020-09-06,16800,C00007723
2022-03-19,16800,C00011373
2022-01-20,7600,C00013757
2021-09-16,16800,C00019023
2021-10-28,35200,C00017576
2022-01-29,19800,C00015084
2020-11-08,7600,C00015597
2021-03-21,12400,C00006029
2020-02-02,4300,C00017313
2020-03-13,30800,C00005588
2020-09-12,10200,C00014484
2020-02-02,6800,C00005766
2021-11-28,7600,C00004273
2022-04-30,17000,C00017881
2020-10-23,41200,C00009400
2021-11-20,39600,C00015062
2022-01-30,14500,C00009713
2020-04-12,12300,C00003708
2020-03-21,31900,C00009506
2022-02-18,31900,C00004511
2021-02-27,18900,C00005309
2020-10-29,8800,C00000140
2022-02-03,7800,C00001432
2021-04-05,16800,C00010044
2021-10-05,41200,C00011060
2020-05-23,31900,C00011651
2021-05-30,14300,C00017023
2022-05-21,9800,C00007397
2021-03-22,20800,C00008296
2020-04-19,16500,C00012960
2020-12-31,7600,C00010337
2021-12-21,30800,C00007938
2020-12-17,16500,C00012465
2021-09-20,18400,C00012490
2021-05-05,15900,C00010415
2021-02-13,8700,C00005191
2020-03-10,31900,C00012783
2020-04-18,41200,C00012319
2020-11-01,1200,C00006522
2021-03-21,18000,C00014502
2022-02-09,2180,C00017629
2022-05-01,16500,C00010878
2021-03-14,22100,C00014202
2021-10-27,18000,C00012719
2021-08-22,31900,C00005653
2021-09-19,7600,C00003691
2021-04-01,19800,C00009800
2022-01-06,17600,C00003307
2021-01-16,1200,C00004018
2021-08-22,8700,C00004416
2020-05-10,11780,C00000308
2020-09-12,31000,C00002150
2021-01-10,31900,C00006184
2021-07-11,15900,C00016691
2020-05-30,20000,C00010170
2021-09-17,14300,C00007064
2021-06-20,15100,C00009577
2020-03-12,19800,C00011067
2022-03-17,18100,C00001624
2022-01-02,70400,C00013060
2021-12-05,18000,C00001217
2020-03-30,4300,C00009623
2021-01-02,38900,C00010888
2021-03-30,20800,C00006704
2021-01-31,1200,C00006067
2020-11-08,16500,C00017432
2020-12-06,4300,C00004019
2021-02-21,9800,C00016393
2020-02-22,35200,C00004390
2022-03-12,2180,C00009681
2020-11-08,4300,C00008884
2020-01-25,10200,C00001970
2020-05-06,35200,C00018159
2021-03-31,31000,C00010952
2020-12-13,7600,C00011888
2021-04-18,7800,C00003964
2022-02-25,9800,C00017375
2021-02-06,14100,C00000125
2022-01-01,9800,C00001082
2021-12-05,21000,C00018648
2021-12-04,7800,C00009016
2021-02-06,31000,C00007894
2020-09-23,14300,C00007494
2020-03-12,14100,C00018517
2021-10-07,12900,C00002166
2021-06-04,8900,C00007506
2021-02-20,16800,C00015548
2022-01-08,16000,C00007170
2020-07-04,31000,C00014029
2020-03-22,21000,C00013019
2020-06-27,39600,C00004336
2022-01-12,38900,C00006206
2021-02-27,16800,C00016276
2020-02-15,31000,C00015753
2022-01-31,31000,C00002904
2020-10-17,4800,C00006098
2020-01-18,7600,C00006377
2021-12-05,16500,C00013556
2021-10-20,14100,C00005716
2022-01-29,21000,C00002534
2022-01-23,31900,C00017201
2021-09-19,31900,C00008260
2021-11-27,16500,C00002000
2020-10-04,14500,C00015906
2022-02-13,19800,C00008762
2021-05-31,20000,C00011987
2021-11-20,19800,C00004232
2021-03-20,14100,C00003128
2020-11-11,12300,C00012621
2022-01-08,31000,C00012213
2022-04-23,7600,C00018480
2022-01-18,16800,C00012377
2021-05-12,38900,C00009612
2020-09-28,15900,C00007017
2022-03-07,2280,C00013434
2022-01-09,14300,C00009398
2022-03-12,18900,C00005769
2021-05-29,2180,C00010771
2020-12-12,5280,C00000510
2022-03-02,9800,C00004794
2022-02-20,8700,C00004000
2021-10-17,33600,C00016846
2022-03-01,4300,C00014724
2021-04-15,8900,C00007926
2021-03-14,19800,C00008384
2020-03-07,21000,C00008673
2020-11-07,19800,C00014307
2021-09-26,7600,C00001773
2020-11-22,1200,C00013891
2021-01-09,10200,C00017375
2020-11-05,18000,C00003544
2021-02-27,2280,C00010076
2020-12-24,41200,C00008699
2021-12-26,14100,C00004583
2020-01-30,18400,C00018628
2021-01-02,31900,C00016577
2020-12-12,16800,C00017140
2022-04-16,4800,C00018854
2021-10-10,5280,C00007725
2022-02-13,22100,C00014673
2021-03-13,31000,C00010564
2022-05-25,15100,C00005782
2020-09-20,12900,C00010669
2021-05-13,8700,C00001814
2020-05-22,16800,C00015723
2022-01-01,35200,C00000200
2020-03-07,79200,C00016663
2020-01-05,9800,C00006980
2020-01-20,16800,C00013695
2021-12-26,7900,C00002790
2021-12-16,4800,C00011025
2020-10-16,22100,C00015530
2020-04-12,41200,C00015214
2022-02-19,19800,C00005992
2022-04-11,10200,C00003242
2020-03-03,14100,C00001338
2020-02-22,20000,C00005296
2020-02-11,16800,C00012646
2021-12-04,5280,C00005556
2020-07-25,14300,C00009574
2022-01-29,18400,C00012262
2020-04-12,16800,C00007917
2021-01-31,8600,C00012973
2020-11-07,18900,C00008539
2020-08-26,14300,C00016570
2021-01-15,16800,C00008392
2021-11-07,16800,C00002500
2021-05-16,20800,C00006229
2021-01-22,38900,C00011628
2020-05-30,18100,C00002112
2022-03-06,7600,C00006747
2021-10-23,22100,C00008986
2020-02-08,12900,C00017119
2020-11-08,2280,C00016300
2020-02-02,19800,C00009582
2021-12-15,18900,C00009579
2021-02-22,17600,C00005143
2021-11-07,9800,C00011496
2020-02-02,18100,C00013210
2022-04-08,31000,C00002534
2020-06-28,28600,C00012057
2020-11-07,38900,C00008085
2021-04-11,7800,C00014891
2021-10-31,10200,C00002895
2020-11-22,17600,C00000713
2020-01-28,30800,C00008691
2021-02-28,19800,C00017092
2021-03-02,30800,C00016699
2020-11-22,31000,C00012376
2022-01-23,18000,C00016193
2021-09-12,34800,C00013139
2021-07-22,7900,C00009161
2021-01-31,4800,C00017898
2021-11-27,14300,C00001602
2020-07-27,2180,C00003482
2020-03-26,18100,C00009940
2021-02-13,15900,C00000982
2021-10-20,21000,C00004259
2021-02-28,18400,C00017685
2020-01-19,8800,C00014383
2020-12-09,14100,C00005493
2020-01-11,31900,C00005556
2022-01-28,14300,C00014280
2021-11-05,20000,C00004430
2020-02-11,18400,C00003074
2020-11-01,18900,C00009950
2021-05-19,7600,C00017987
2022-03-06,18100,C00016320
2020-11-26,19800,C00003954
2022-04-16,15100,C00006503
2022-05-07,14100,C00003161
2021-11-14,31900,C00017159
2020-02-09,31000,C00014442
2021-06-26,18000,C00015977
2021-03-14,21000,C00015821
2021-12-30,1200,C00003768
2021-12-26,18900,C00002460
2021-06-15,16800,C00009054
2020-10-25,18900,C00016133
2020-12-17,51000,C00004878
2020-05-23,35200,C00003359
2020-02-22,18000,C00017749
2020-01-07,14300,C00017296
2022-02-13,20000,C00006065
2021-01-21,15900,C00009105
2022-01-30,7600,C00004807
2021-03-13,14100,C00016377
2022-04-22,14300,C00010005
2021-10-02,4800,C00015373
2021-03-21,22100,C00001012
2022-02-12,20100,C00000141
2020-12-05,18100,C00004760
2020-04-26,12300,C00010453
2021-10-17,16800,C00011522
2022-02-20,16800,C00009382
2021-05-01,21000,C00000221
2020-01-01,18900,C00009707
2022-02-09,7800,C00015813
