顧客ID,生年月日,性別,年齢,年齢層
C00001304,1984-05-13,女,41,40代
C00019007,1985-02-24,女,40,40代
C00008555,1976-04-18,男,49,40代
C00014699,1986-10-10,女,38,30代
C00017593,1979-11-17,女,45,40代
C00018738,2005-07-20,女,20,20代
C00018066,1996-05-12,女,29,20代
C00001722,2000-04-24,女,25,20代
C00006576,1971-11-04,男,53,50代
C00000607,1989-05-28,その他・不明,36,30代
C00007470,1999-06-03,女,26,20代
C00004087,1984-04-23,男,41,40代
C00015812,1999-07-02,女,26,20代
C00010403,1984-12-14,女,40,40代
C00010577,1993-08-22,女,32,30代
C00017694,1987-12-21,女,37,30代
C00004407,1976-01-04,女,49,40代
C00006571,1985-02-20,女,40,40代
C00004140,1968-12-11,女,56,50代
C00004139,1975-09-12,女,50,50代
C00010006,1999-11-21,男,25,20代
C00011540,1947-08-23,女,78,60代以上
C00004108,1975-03-17,女,50,50代
C00000723,1999-04-21,女,26,20代
C00012745,1996-03-04,女,29,20代
C00000038,1991-05-12,男,34,30代
C00005389,1996-10-16,女,28,20代
C00002051,1999-12-12,女,25,20代
C00015475,1990-11-03,男,34,30代
C00015568,1954-06-20,女,71,60代以上
C00008577,1992-07-02,男,33,30代
C00003765,1998-05-19,女,27,20代
C00012470,1999-10-19,女,25,20代
C00005271,1987-03-13,男,38,30代
C00002067,2002-05-03,女,23,20代
C00018338,1995-05-24,男,30,30代
C00018539,1989-04-10,男,36,30代
C00018031,2006-01-10,男,19,10代未満
C00001694,1961-02-19,男,64,60代以上
C00001914,1975-08-28,男,50,50代
C00006847,1969-03-17,女,56,50代
C00015208,1943-07-04,女,82,60代以上
C00017565,1986-12-21,女,38,30代
C00013708,1993-05-31,女,32,30代
C00013814,1997-07-05,女,28,20代
C00008155,1980-03-25,男,45,40代
C00004288,1978-01-31,その他・不明,47,40代
C00016662,1997-02-20,男,28,20代
C00008713,1975-08-13,女,50,50代
C00018468,2010-03-28,女,15,10代未満
C00005777,1995-12-03,女,29,20代
C00016132,1944-12-02,女,80,60代以上
C00004179,2002-01-11,女,23,20代
C00017346,2006-11-29,男,18,10代未満
C00004511,2008-06-20,女,17,10代未満
C00006423,1990-10-22,女,34,30代
C00000992,1988-07-27,女,37,30代
C00011269,1987-09-15,女,38,30代
C00002946,1987-04-04,女,38,30代
C00005756,1988-08-20,男,37,30代
C00004769,1998-08-15,男,27,20代
C00003374,1986-06-02,男,39,30代
C00019022,1988-11-05,男,36,30代
C00000928,1986-07-20,女,39,30代
C00011428,1986-05-06,男,39,30代
C00009888,1988-08-23,男,37,30代
C00007767,1987-10-04,男,37,30代
C00003813,1984-11-05,女,40,40代
C00009720,1983-12-25,女,41,40代
C00009512,1993-03-19,その他・不明,32,30代
C00016792,2000-09-24,男,24,20代
C00018034,1977-06-11,女,48,40代
C00016131,2002-08-01,女,23,20代
C00003650,1966-08-20,男,59,50代
C00005326,1986-05-21,男,39,30代
C00002894,1995-06-19,女,30,30代
C00017524,1971-12-01,男,53,50代
C00014725,1965-01-18,女,60,60代以上
C00001070,1991-04-11,女,34,30代
C00000661,1981-12-08,女,43,40代
C00012073,2008-09-17,女,17,10代未満
C00002766,1977-11-26,女,47,40代
C00018125,2008-10-26,女,16,10代未満
C00001530,2002-10-16,男,22,20代
C00000252,1976-10-12,女,48,40代
C00002694,1998-12-17,男,26,20代
C00006937,1949-10-30,女,75,60代以上
C00016531,1978-09-17,女,47,40代
C00013060,1986-09-02,女,39,30代
C00011493,1986-09-05,女,39,30代
C00008524,2001-09-10,男,24,20代
C00001088,1990-01-25,女,35,30代
C00011613,1992-11-04,男,32,30代
C00016106,1993-08-21,女,32,30代
C00013490,1953-04-17,女,72,60代以上
C00000290,1976-11-10,女,48,40代
C00017686,1989-06-12,女,36,30代
C00003624,1993-11-09,男,31,30代
C00009659,1974-08-27,男,51,50代
C00017237,1984-04-18,男,41,40代
C00009242,2009-03-29,女,16,10代未満
C00018530,1986-01-11,女,39,30代
C00009524,1984-11-21,女,40,40代
C00009494,2006-08-09,女,19,10代未満
C00010508,2009-07-09,女,16,10代未満
C00005957,1994-05-16,女,31,30代
C00001357,1982-10-18,女,42,40代
C00017687,1980-10-30,女,44,40代
C00004581,1995-07-28,女,30,30代
C00012192,1974-02-09,女,51,50代
C00002994,1999-04-13,女,26,20代
C00000717,1992-12-10,男,32,30代
C00010265,1977-02-25,女,48,40代
C00004629,1988-06-01,女,37,30代
C00003638,1994-07-17,女,31,30代
C00005496,1987-09-16,女,38,30代
C00014497,1974-05-18,男,51,50代
C00017770,2010-11-29,女,14,10代未満
C00001498,2000-12-19,女,24,20代
C00002145,1988-07-11,女,37,30代
C00017410,1986-11-20,男,38,30代
C00012996,1994-03-07,女,31,30代
C00014691,1980-02-29,男,45,40代
C00014491,1984-09-10,女,41,40代
C00012078,1967-03-19,女,58,50代
C00006118,1964-12-29,女,60,60代以上
C00015720,1977-08-26,女,48,40代
C00018100,1998-06-29,男,27,20代
C00018269,1994-04-17,男,31,30代
C00004864,1996-01-06,女,29,20代
C00017545,1959-10-31,男,65,60代以上
C00009307,2005-07-13,男,20,20代
C00006059,1995-07-14,女,30,30代
C00016538,1990-12-21,女,34,30代
C00013602,1995-06-14,男,30,30代
C00004131,1967-08-22,女,58,50代
C00004548,1988-09-14,男,37,30代
C00001039,1992-08-17,女,33,30代
C00015064,1953-12-23,女,71,60代以上
C00018664,1976-05-19,男,49,40代
C00002119,1984-08-13,女,41,40代
C00011368,1977-12-01,女,47,40代
C00009164,1984-10-07,女,40,40代
C00009016,1977-01-19,女,48,40代
C00016377,1992-10-06,女,32,30代
C00000825,1975-04-11,男,50,50代
C00013559,1973-08-26,女,52,50代
C00001363,1983-06-15,女,42,40代
C00013575,1981-01-13,女,44,40代
C00002962,1998-09-09,女,27,20代
C00011001,1982-01-11,男,43,40代
C00018968,1983-09-21,女,41,40代
C00012002,1985-05-16,男,40,40代
C00012765,1997-07-09,女,28,20代
C00004641,2008-05-30,男,17,10代未満
C00008102,1981-03-20,女,44,40代
C00013015,1990-01-03,男,35,30代
C00012992,1974-04-11,女,51,50代
C00014222,1977-02-07,男,48,40代
C00016204,2010-06-09,女,15,10代未満
C00004048,2003-01-18,女,22,20代
C00008264,1985-03-31,男,40,40代
C00008899,1976-06-07,女,49,40代
C00009051,1994-05-29,女,31,30代
C00013136,1952-04-03,男,73,60代以上
C00004525,1989-01-17,男,36,30代
C00014333,1992-12-06,男,32,30代
C00015734,1984-07-03,女,41,40代
C00003954,2003-04-14,男,22,20代
C00017415,1983-06-24,女,42,40代
C00005284,1993-08-13,男,32,30代
C00003162,2005-02-26,男,20,20代
C00008914,1980-03-28,その他・不明,45,40代
C00010233,1988-09-04,女,37,30代
C00009503,2005-01-04,女,20,20代
C00013528,1987-12-29,男,37,30代
C00008518,1993-08-17,男,32,30代
C00015373,1984-05-15,女,41,40代
C00015953,1988-09-26,女,36,30代
C00009683,1990-05-31,女,35,30代
C00013110,1983-08-26,女,42,40代
C00018957,1990-10-03,男,34,30代
C00000329,1983-11-14,女,41,40代
C00015818,1994-05-12,女,31,30代
C00017817,2004-01-23,女,21,20代
C00018700,1997-03-03,女,28,20代
C00012242,2005-10-21,女,19,10代未満
C00017957,1986-11-29,女,38,30代
C00015842,2006-03-27,女,19,10代未満
C00009496,1994-09-20,女,30,30代
C00008964,2011-03-22,男,14,10代未満
C00016224,1992-01-11,女,33,30代
C00001294,1984-12-27,女,40,40代
C00009625,2004-05-19,その他・不明,21,20代
C00009770,1994-06-30,女,31,30代
C00017485,1983-09-25,女,41,40代
C00007293,1981-02-14,その他・不明,44,40代
C00007082,1980-03-11,女,45,40代
C00017991,1992-01-07,女,33,30代
C00005794,2003-06-14,女,22,20代
C00008691,1966-04-01,女,59,50代
C00007999,2001-06-20,女,24,20代
C00010395,1973-12-01,男,51,50代
C00007080,1987-05-04,その他・不明,38,30代
C00003243,1986-10-06,女,38,30代
C00007943,1988-06-16,男,37,30代
C00018104,1968-07-08,女,57,50代
C00018073,1956-08-08,男,69,60代以上
C00007996,1984-01-06,女,41,40代
C00012093,1983-04-08,男,42,40代
C00017303,1995-06-22,女,30,30代
C00017154,1980-05-19,男,45,40代
C00016691,1990-05-02,女,35,30代
C00017403,1983-06-24,女,42,40代
C00017139,1986-05-24,男,39,30代
C00016885,1970-03-27,女,55,50代
C00006247,1982-10-15,男,42,40代
C00012921,2000-04-09,女,25,20代
C00008775,1983-10-22,男,41,40代
C00012251,1985-09-10,男,40,40代
C00018384,1996-12-07,男,28,20代
C00002004,1990-05-29,男,35,30代
C00018304,1991-01-24,女,34,30代
C00014182,1986-05-18,男,39,30代
C00014138,1997-12-26,女,27,20代
C00016943,1998-04-26,男,27,20代
C00017235,1992-03-15,女,33,30代
C00014016,2001-07-08,女,24,20代
C00001333,1958-08-11,女,67,60代以上
C00007368,2008-01-05,女,17,10代未満
C00004433,1992-03-28,男,33,30代
C00016220,2005-10-14,女,19,10代未満
C00005698,2000-10-23,女,24,20代
C00018726,1995-09-20,女,29,20代
C00012211,1985-03-31,女,40,40代
C00010168,2004-04-27,女,21,20代
C00001312,1988-08-13,女,37,30代
C00011905,2007-03-12,その他・不明,18,10代未満
C00005758,1951-05-06,女,74,60代以上
C00018011,1974-05-21,男,51,50代
C00004892,2009-12-07,女,15,10代未満
C00009228,1986-10-28,女,38,30代
C00001839,1993-11-24,女,31,30代
C00006426,1994-10-19,女,30,30代
C00013764,2004-01-18,女,21,20代
C00012335,1973-04-21,女,52,50代
C00015125,1996-03-22,女,29,20代
C00002836,1986-05-04,女,39,30代
C00002850,1993-01-13,女,32,30代
C00004349,1984-03-07,男,41,40代
C00010481,1984-07-03,女,41,40代
C00011790,1969-05-13,女,56,50代
C00014151,1998-05-04,男,27,20代
C00007229,1984-07-02,男,41,40代
C00007277,1984-08-21,男,41,40代
C00005038,1987-01-08,女,38,30代
C00016242,1977-05-08,女,48,40代
C00001818,2002-01-29,女,23,20代
C00013134,1991-04-03,女,34,30代
C00011765,1984-07-19,男,41,40代
C00006033,1946-05-23,男,79,60代以上
C00015552,1996-10-25,女,28,20代
C00007973,2001-08-07,女,24,20代
C00003492,1995-12-21,女,29,20代
C00011686,1997-09-16,女,28,20代
C00003889,2000-09-08,女,25,20代
C00018226,1977-01-14,女,48,40代
C00001275,2001-04-15,男,24,20代
C00004143,2006-12-19,女,18,10代未満
C00001467,1945-07-06,女,80,60代以上
C00000745,1997-04-24,女,28,20代
C00010934,1987-10-30,女,37,30代
C00017459,2001-01-03,男,24,20代
C00010285,1989-09-30,女,35,30代
C00009310,1986-06-05,女,39,30代
C00014863,1978-10-16,女,46,40代
C00005840,1982-07-30,男,43,40代
C00002805,1978-03-07,女,47,40代
C00002827,2011-03-11,男,14,10代未満
C00010043,1968-07-14,女,57,50代
C00008358,1987-05-17,女,38,30代
C00015302,1980-09-01,女,45,40代
C00001431,1976-12-09,男,48,40代
C00001983,1994-06-13,その他・不明,31,30代
C00001075,1993-01-01,女,32,30代
C00017817,2004-01-23,女,21,20代
C00015388,1982-10-15,女,42,40代
C00008001,1997-03-12,女,28,20代
C00004685,1989-05-02,女,36,30代
C00003657,1987-07-12,男,38,30代
C00003620,1995-11-14,女,29,20代
C00004981,1974-10-18,女,50,50代
C00011282,1996-07-23,女,29,20代
C00002058,2004-03-27,女,21,20代
C00003944,2008-12-30,女,16,10代未満
C00004668,1998-11-30,男,26,20代
C00009279,1976-09-04,女,49,40代
C00016916,1989-06-02,女,36,30代
C00000006,1985-08-04,女,40,40代
C00015413,1991-04-15,女,34,30代
C00000915,1985-09-20,男,39,30代
C00006691,1992-08-14,男,33,30代
C00012898,2007-04-27,男,18,10代未満
C00001880,1945-11-13,女,79,60代以上
C00017045,1960-11-03,女,64,60代以上
C00003814,1988-02-06,その他・不明,37,30代
C00009782,1991-01-07,女,34,30代
C00014816,1986-03-23,女,39,30代
C00017921,2001-04-04,女,24,20代
C00008815,2005-03-14,女,20,20代
C00012098,1967-08-11,女,58,50代
C00007861,1995-03-05,男,30,30代
C00010404,1974-07-14,男,51,50代
C00001124,1980-08-06,男,45,40代
C00003824,1965-01-14,男,60,60代以上
C00002758,1994-11-01,男,30,30代
C00013617,2003-03-04,男,22,20代
C00012770,2010-05-24,女,15,10代未満
C00009436,1985-08-01,女,40,40代
C00017391,1983-08-15,女,42,40代
C00004693,2008-03-25,男,17,10代未満
C00003078,1979-03-29,男,46,40代
C00001596,1973-06-24,男,52,50代
C00015169,1980-03-08,男,45,40代
C00011472,1980-08-15,女,45,40代
C00003525,2002-01-27,女,23,20代
C00008630,1990-01-19,女,35,30代
C00016772,1967-12-02,女,57,50代
C00006436,2006-11-29,女,18,10代未満
C00011095,1997-08-14,女,28,20代
C00013134,1991-04-03,女,34,30代
C00009982,2009-04-11,女,16,10代未満
C00006459,1979-02-10,女,46,40代
C00006274,1992-09-08,男,33,30代
C00001455,1991-04-19,男,34,30代
C00012984,2006-01-02,女,19,10代未満
C00010317,1993-09-28,女,31,30代
C00008275,2010-05-30,その他・不明,15,10代未満
C00008503,1963-07-13,女,62,60代以上
C00009834,1986-06-28,男,39,30代
C00014014,1989-08-27,女,36,30代
C00003435,2000-01-27,男,25,20代
C00004143,2006-12-19,女,18,10代未満
C00017138,1992-06-12,女,33,30代
C00017117,1982-06-07,女,43,40代
C00001673,1988-10-12,男,36,30代
C00009835,1981-01-17,女,44,40代
C00017151,1977-04-16,女,48,40代
C00005891,2003-10-09,男,21,20代
C00005857,1968-09-05,女,57,50代
C00010454,2007-03-16,女,18,10代未満
C00017429,1992-10-26,男,32,30代
C00005746,1986-12-05,女,38,30代
C00007545,1976-09-24,女,48,40代
C00001216,1989-09-25,女,35,30代
C00013233,1985-08-02,男,40,40代
C00009909,2002-11-26,男,22,20代
C00003884,1982-04-20,女,43,40代
C00012470,1999-10-19,女,25,20代
C00005110,1980-04-10,男,45,40代
C00018011,1974-05-21,男,51,50代
C00017453,1992-07-25,女,33,30代
C00007565,2000-07-12,女,25,20代
C00015863,1994-07-04,男,31,30代
C00011594,2000-08-30,女,25,20代
C00010501,1996-06-22,女,29,20代
C00006070,2007-04-19,男,18,10代未満
C00011680,2008-05-05,女,17,10代未満
C00010939,1985-01-25,男,40,40代
C00010620,1987-10-17,男,37,30代
C00001473,1973-12-03,男,51,50代
C00011136,2009-06-22,女,16,10代未満
C00000141,1979-06-21,男,46,40代
C00016887,1973-12-26,女,51,50代
C00012995,1986-12-22,男,38,30代
C00010528,2002-08-10,女,23,20代
C00005403,2002-10-22,女,22,20代
C00004726,2006-10-03,男,18,10代未満
C00010093,1980-12-28,女,44,40代
C00014802,1977-08-11,女,48,40代
C00000666,1993-09-10,女,32,30代
C00018643,2003-01-18,男,22,20代
C00001176,2000-11-16,男,24,20代
C00012622,1965-10-21,女,59,50代
C00013434,1990-05-29,女,35,30代
C00003580,2010-09-16,女,15,10代未満
C00011244,1978-04-21,女,47,40代
C00012727,2002-04-10,女,23,20代
C00000285,1993-03-19,女,32,30代
C00010963,1991-05-06,女,34,30代
C00014798,1975-08-04,女,50,50代
C00017428,1997-09-19,男,27,20代
C00009754,1981-12-27,男,43,40代
C00016633,2005-05-27,女,20,20代
C00000619,1942-06-19,男,83,60代以上
C00001027,1991-02-28,女,34,30代
C00007233,1950-11-07,女,74,60代以上
C00013642,1986-07-09,その他・不明,39,30代
C00015126,2003-03-09,女,22,20代
C00009405,1997-11-05,女,27,20代
C00014675,1989-08-03,男,36,30代
C00007502,1983-07-07,女,42,40代
C00008600,1975-12-28,女,49,40代
C00007989,1982-04-18,女,43,40代
C00018001,2000-06-23,女,25,20代
C00005362,1995-09-04,男,30,30代
C00015150,1977-06-20,女,48,40代
C00008227,1987-08-22,その他・不明,38,30代
C00008791,1999-09-25,女,25,20代
C00008353,1984-02-28,男,41,40代
C00004051,1988-07-07,女,37,30代
C00003210,1998-01-19,男,27,20代
C00015617,2006-02-02,男,19,10代未満
C00011306,1991-10-27,女,33,30代
C00001908,1976-10-27,女,48,40代
C00015859,2003-05-15,女,22,20代
C00003539,1982-02-17,女,43,40代
C00002306,1993-10-21,女,31,30代
C00014571,1999-01-28,女,26,20代
C00001334,1988-02-25,女,37,30代
C00017508,1978-10-16,女,46,40代
C00002139,1990-02-27,男,35,30代
C00004445,2000-04-29,男,25,20代
C00011606,1987-08-02,女,38,30代
C00007045,2000-12-16,男,24,20代
C00012838,2004-12-07,女,20,20代
C00013292,1986-05-04,男,39,30代
C00001952,1978-11-16,男,46,40代
C00014756,1989-02-25,女,36,30代
C00015720,1977-08-26,女,48,40代
C00000875,1986-02-15,女,39,30代
C00008382,1996-10-11,女,28,20代
C00001833,1989-03-06,女,36,30代
C00008516,1993-07-27,男,32,30代
C00015322,2000-10-16,女,24,20代
C00017948,1983-11-20,女,41,40代
C00014439,1990-01-22,その他・不明,35,30代
C00004938,1980-07-29,女,45,40代
C00018695,1985-04-27,女,40,40代
C00012138,1993-04-09,女,32,30代
C00017994,2002-03-01,その他・不明,23,20代
C00014702,1983-04-17,女,42,40代
C00009885,1952-01-08,男,73,60代以上
C00013695,1986-12-16,女,38,30代
C00015645,1976-11-22,男,48,40代
C00003048,1991-03-23,女,34,30代
C00007354,1980-07-25,女,45,40代
C00008525,2000-08-15,女,25,20代
C00011357,1968-12-11,女,56,50代
C00002330,2003-04-15,男,22,20代
C00008462,1975-06-24,男,50,50代
C00011227,1988-12-31,女,36,30代
C00018801,1983-04-02,男,42,40代
C00013668,1945-10-17,男,79,60代以上
C00007405,1969-05-06,男,56,50代
C00012330,1993-08-24,男,32,30代
C00014423,2009-12-13,女,15,10代未満
C00001229,1979-01-11,女,46,40代
C00017167,1993-05-02,男,32,30代
C00003526,1998-05-17,女,27,20代
C00017577,1975-09-08,女,50,50代
C00018196,1976-06-18,女,49,40代
C00013781,1984-01-05,女,41,40代
C00001138,1997-05-25,男,28,20代
C00007305,1971-03-16,男,54,50代
C00002666,1978-07-21,男,47,40代
C00009968,1984-06-07,男,41,40代
C00016926,1990-07-07,女,35,30代
C00000776,1995-06-03,男,30,30代
C00010258,1974-02-22,男,51,50代
C00014360,1980-03-21,男,45,40代
C00018173,2000-03-27,女,25,20代
C00016657,1987-03-30,男,38,30代
C00012547,1995-01-26,男,30,30代
C00016488,1993-08-31,男,32,30代
C00006869,1975-02-05,女,50,50代
C00006035,1948-09-09,その他・不明,77,60代以上
C00015547,2006-07-14,女,19,10代未満
C00007875,1986-12-30,男,38,30代
C00009867,1990-05-12,女,35,30代
C00013735,1988-12-31,その他・不明,36,30代
C00009274,1999-07-12,男,26,20代
C00010286,1977-02-02,女,48,40代
C00008438,1988-11-13,女,36,30代
C00000192,1991-08-02,男,34,30代
C00004595,1993-08-25,女,32,30代
C00008899,1976-06-07,女,49,40代
C00007331,1980-02-02,男,45,40代
C00005590,1992-07-02,女,33,30代
C00010399,1978-02-21,女,47,40代
C00005864,2010-08-23,女,15,10代未満
C00018919,1988-05-29,男,37,30代
C00007553,2003-12-19,女,21,20代
C00012492,1981-07-09,女,44,40代
C00008298,1987-03-23,女,38,30代
C00001606,2002-02-20,女,23,20代
C00001455,1991-04-19,男,34,30代
C00008161,1988-08-26,男,37,30代
C00012855,1999-02-12,女,26,20代
C00016815,1982-07-27,男,43,40代
C00001795,1961-05-07,男,64,60代以上
C00001749,1991-06-06,男,34,30代
C00007372,1992-10-11,男,32,30代
C00014279,2006-06-18,女,19,10代未満
C00003160,1995-04-10,女,30,30代
C00018155,1990-09-28,女,34,30代
C00011309,1983-12-11,女,41,40代
C00001759,2009-10-31,女,15,10代未満
C00007905,1978-08-26,その他・不明,47,40代
C00002815,1977-09-05,男,48,40代
C00014136,1987-11-18,女,37,30代
C00016662,1997-02-20,男,28,20代
C00009725,1999-08-10,女,26,20代
C00005868,1985-12-28,男,39,30代
C00006692,1997-12-09,女,27,20代
C00010831,1975-01-16,女,50,50代
C00017114,1995-01-04,男,30,30代
C00010626,1970-12-12,男,54,50代
C00000497,1977-10-27,その他・不明,47,40代
C00013267,1975-11-06,女,49,40代
C00013101,1987-08-20,女,38,30代
C00011598,2005-06-01,女,20,20代
C00007545,1976-09-24,女,48,40代
C00016865,1991-06-13,女,34,30代
C00007474,1988-01-13,女,37,30代
C00018862,1995-07-08,女,30,30代
C00004436,1984-04-09,男,41,40代
C00017918,1991-06-18,男,34,30代
C00017585,1999-06-08,女,26,20代
C00015237,1975-11-05,男,49,40代
C00006675,1991-04-15,女,34,30代
C00013962,1992-07-27,その他・不明,33,30代
C00003941,1944-06-24,男,81,60代以上
C00002882,1974-12-24,男,50,50代
C00007354,1980-07-25,女,45,40代
C00007240,1992-11-05,その他・不明,32,30代
C00010095,2000-01-23,その他・不明,25,20代
C00000917,1998-03-01,男,27,20代
C00003613,2010-12-19,その他・不明,14,10代未満
C00018604,1993-01-14,女,32,30代
C00017092,1991-05-05,女,34,30代
C00005678,1973-06-17,男,52,50代
C00003942,1975-01-17,女,50,50代
C00000559,1997-02-03,男,28,20代
C00017247,1972-06-23,男,53,50代
C00002389,2010-10-19,女,14,10代未満
C00002047,1980-01-21,その他・不明,45,40代
C00018901,1993-04-04,男,32,30代
C00015936,1961-06-24,女,64,60代以上
C00009011,1987-08-18,女,38,30代
C00009029,1989-10-29,女,35,30代
C00004329,2011-01-06,女,14,10代未満
C00001960,1975-08-25,男,50,50代
C00006278,1990-11-11,女,34,30代
C00017939,1970-01-11,男,55,50代
C00017599,1990-09-21,男,34,30代
C00017453,1992-07-25,女,33,30代
C00008353,1984-02-28,男,41,40代
C00014872,2010-09-13,女,15,10代未満
C00017286,1981-02-11,女,44,40代
C00013176,1982-07-25,女,43,40代
C00015959,1990-11-18,女,34,30代
C00001828,2002-03-28,男,23,20代
C00010710,1997-06-13,男,28,20代
C00009087,1983-04-06,女,42,40代
C00004929,1991-09-14,男,34,30代
C00018350,2007-02-10,女,18,10代未満
C00002545,1985-09-24,男,39,30代
C00006526,2000-03-01,女,25,20代
C00012164,1988-04-07,女,37,30代
C00007310,1985-05-01,男,40,40代
C00018215,1987-10-06,男,37,30代
C00005282,2001-05-10,その他・不明,24,20代
C00005663,2000-05-17,女,25,20代
C00016203,1973-08-16,女,52,50代
C00010710,1997-06-13,男,28,20代
C00004323,1957-07-21,女,68,60代以上
C00010016,2008-06-15,女,17,10代未満
C00004439,1984-05-01,女,41,40代
C00007055,1978-10-02,女,46,40代
C00008208,1985-06-29,男,40,40代
C00009888,1988-08-23,男,37,30代
C00016528,1982-04-23,女,43,40代
C00003129,1989-08-19,女,36,30代
C00016111,2005-10-19,男,19,10代未満
C00002122,1979-02-17,女,46,40代
C00018383,1950-07-23,男,75,60代以上
C00014702,1983-04-17,女,42,40代
C00016467,1982-10-26,女,42,40代
C00018998,2005-06-30,女,20,20代
C00000551,1997-04-15,女,28,20代
C00010007,1990-07-02,女,35,30代
C00003231,1990-09-18,男,35,30代
C00005818,1991-06-07,女,34,30代
C00007372,1992-10-11,男,32,30代
C00016352,1979-11-12,女,45,40代
C00012669,1987-12-23,女,37,30代
C00018899,2010-05-28,女,15,10代未満
C00006313,1978-11-15,男,46,40代
C00016099,1973-10-09,女,51,50代
C00001157,2005-09-16,男,20,20代
C00007155,1977-07-01,男,48,40代
C00018449,1983-12-08,女,41,40代
C00008953,1994-06-06,男,31,30代
C00014276,1987-07-31,女,38,30代
C00003256,2011-05-29,女,14,10代未満
C00012141,1973-10-14,女,51,50代
C00016649,1984-01-18,女,41,40代
C00014560,2000-09-19,男,24,20代
C00016382,2002-11-08,男,22,20代
C00011324,1953-03-30,男,72,60代以上
C00002120,1985-06-14,男,40,40代
C00017385,2001-09-02,女,24,20代
C00017812,1999-10-29,男,25,20代
C00010114,2001-11-08,女,23,20代
C00001091,1977-09-04,女,48,40代
C00007934,1984-07-10,女,41,40代
C00000071,1989-05-06,男,36,30代
C00009164,1984-10-07,女,40,40代
C00016778,1999-08-30,女,26,20代
C00000788,1992-01-13,女,33,30代
C00004655,1945-02-19,女,80,60代以上
C00015328,1976-06-08,女,49,40代
C00008273,2007-11-11,男,17,10代未満
C00010501,1996-06-22,女,29,20代
C00003880,1987-03-11,女,38,30代
C00012007,1995-01-10,その他・不明,30,30代
C00012524,1985-02-03,その他・不明,40,40代
C00014194,1983-09-01,女,42,40代
C00004141,2000-04-15,女,25,20代
C00000701,1987-12-01,女,37,30代
C00004170,1983-08-03,女,42,40代
C00015900,1983-08-28,女,42,40代
C00009603,1990-02-02,女,35,30代
C00015979,1971-10-20,男,53,50代
C00002275,1994-05-08,女,31,30代
C00000910,1993-02-10,女,32,30代
